,name,state,hectacres_burned,acres_burned,other_damage,year,human_fatalities,homes_destroyed
55,Black Saturday bushfires ,Victoria ,"450,000 ","1,100,000 ", ,2009,173,2029
56,Tasmanian bushfires ,Tasmania ,"20,000 ","49,000 ", ,2013,1,
57,Warrumbungle bushfire ,New South Wales ,"54,000 ","130,000 ",Agricultural machinery and livestockInfrastructure at Siding Spring Observatory ,2013,,53
58,2013 New South Wales bushfires ,New South Wales ,"100,000 ","250,000 ", ,2013,1,208
59,Carnarvon bushfire complex ,Western Australia ,"800,000 ","2,000,000 ","11 pastoral stations(fences, watering systems, water points, stock feed) ",2011,,
60,2015 Sampson Flat bushfires ,South Australia ,"20,000 ","49,000 ", ,2015,,27
61,2015 O'Sullivan bushfire (Northcliffe – Windy Harbour) ,Western Australia ,"98,923 ","244,440 ",Thousands of hectares of production forests (karri and jarrah) or national parks ,2015,,2
62,2015 Lower Hotham bushfire (Boddington) ,Western Australia ,"52,373 ","129,420 ",1 bridgeThousands of hectares of production forest (jarrah) or national parks ,2015,,1
63,2015 Esperance bushfires ,Western Australia ,"200,000 ","490,000 ","15,000 livestock5 Nature ReservesMost of Cape Arid National Park ",2015,4,10
64,Perth Hills bushfire complex – Solus Group ,Western Australia ,"10,016 ","24,750 ",Jarrah production forest and Conservation Park ,2015,,
65,2015 Pinery bushfire ,South Australia ,"85,000 ","210,000 ", ,2015,2,91
66,2016 Murray Road bushfire (Waroona and Harvey) ,Western Australia ,"69,165 ","170,910 ",Thousands of hectares of Lane Poole ReserveProduction forest (jarrah) ,2016,2,181
67,2017 New South Wales bushfires ,New South Wales ,"52,000 ","130,000 ", ,2017,,35
68,Tingha bushfire ,New South Wales ,"23,419 ","57,870 ",LivestockVineyards ,2019,,19
69,2019–20 Australian bushfire season ,Nationwide ,"18,626,000 ","46,030,000 ",At least one billion wild animals are estimated to have died (not including frogs and insects) with some species thought to be facing extinction. ,2019,34,2600
